"subject_id","split","label","source_category","file_name"
"6228928cb608822f9f53589e","train","live","live_selfie","subject_6228928cb608822f9f53589e__live_selfie__xiaomi_redmi_note_9_pro.jpg"
"62294efac72a824e5bb369f3","val","live","live_selfie","subject_62294efac72a824e5bb369f3__live_selfie__xiaomi_note_10s.jpg"
"623955e76e1ee5175569a12b","test","live","live_selfie","subject_623955e76e1ee5175569a12b__live_selfie__honor_10i.jpg"
"6239bb2420237d576aade0ea","train","live","live_selfie","subject_6239bb2420237d576aade0ea__live_selfie__moto_g30.jpg"
"6239cf6720237d576aafbe45","train","live","live_selfie","subject_6239cf6720237d576aafbe45__live_selfie__samsung_galaxy_a22.jpg"
"624508e961974a65884d9fd3","val","live","live_selfie","subject_624508e961974a65884d9fd3__live_selfie__redmi_note_9.jpg"
"62457bc94ff454214e8af551","train","live","live_selfie","subject_62457bc94ff454214e8af551__live_selfie__infinix_note_11.jpg"
"625473b64949293a58c89e41","test","live","live_selfie","subject_625473b64949293a58c89e41__live_selfie__oppo_a5s.jpg"
"62663cf6d21d14509973bcb4","train","live","live_selfie","subject_62663cf6d21d14509973bcb4__live_selfie__poco_x3.jpg"
"6228928cb608822f9f53589e","train","live","live_video","subject_6228928cb608822f9f53589e__live_video__xiaomi_redmi_note_9_pro.mp4"
"62294efac72a824e5bb369f3","val","live","live_video","subject_62294efac72a824e5bb369f3__live_video__xiaomi_note_10s.mp4"
"623955e76e1ee5175569a12b","test","live","live_video","subject_623955e76e1ee5175569a12b__live_video__honor_10i.mp4"
"6239bb2420237d576aade0ea","train","live","live_video","subject_6239bb2420237d576aade0ea__live_video__moto_g30.mp4"
"6239cf6720237d576aafbe45","train","live","live_video","subject_6239cf6720237d576aafbe45__live_video__samsung_galaxy_a22.mp4"
"624508e961974a65884d9fd3","val","live","live_video","subject_624508e961974a65884d9fd3__live_video__redmi_note_9.mp4"
"62457bc94ff454214e8af551","train","live","live_video","subject_62457bc94ff454214e8af551__live_video__infinix_note_11.mp4"
"625473b64949293a58c89e41","test","live","live_video","subject_625473b64949293a58c89e41__live_video__oppo_a5s.mp4"
"62663cf6d21d14509973bcb4","train","live","live_video","subject_62663cf6d21d14509973bcb4__live_video__poco_x3.mp4"
"6228928cb608822f9f53589e","train","spoof","printouts","subject_6228928cb608822f9f53589e__spoof_printout.mp4"
"62294efac72a824e5bb369f3","val","spoof","printouts","subject_62294efac72a824e5bb369f3__spoof_printout.mp4"
"623955e76e1ee5175569a12b","test","spoof","printouts","subject_623955e76e1ee5175569a12b__spoof_printout.mp4"
"6239bb2420237d576aade0ea","train","spoof","printouts","subject_6239bb2420237d576aade0ea__spoof_printout.mp4"
"6239cf6720237d576aafbe45","train","spoof","printouts","subject_6239cf6720237d576aafbe45__spoof_printout.mp4"
"624508e961974a65884d9fd3","val","spoof","printouts","subject_624508e961974a65884d9fd3__spoof_printout.mp4"
"62457bc94ff454214e8af551","train","spoof","printouts","subject_62457bc94ff454214e8af551__spoof_printout.mp4"
"625473b64949293a58c89e41","test","spoof","printouts","subject_625473b64949293a58c89e41__spoof_printout.mp4"
"62663cf6d21d14509973bcb4","train","spoof","printouts","subject_62663cf6d21d14509973bcb4__spoof_printout.mp4"
"6228928cb608822f9f53589e","train","spoof","cut-out printouts","subject_6228928cb608822f9f53589e__spoof_cutout_printout.mp4"
"62294efac72a824e5bb369f3","val","spoof","cut-out printouts","subject_62294efac72a824e5bb369f3__spoof_cutout_printout.mp4"
"623955e76e1ee5175569a12b","test","spoof","cut-out printouts","subject_623955e76e1ee5175569a12b__spoof_cutout_printout.mp4"
"6239bb2420237d576aade0ea","train","spoof","cut-out printouts","subject_6239bb2420237d576aade0ea__spoof_cutout_printout.mp4"
"6239cf6720237d576aafbe45","train","spoof","cut-out printouts","subject_6239cf6720237d576aafbe45__spoof_cutout_printout.mp4"
"624508e961974a65884d9fd3","val","spoof","cut-out printouts","subject_624508e961974a65884d9fd3__spoof_cutout_printout.mp4"
"62457bc94ff454214e8af551","train","spoof","cut-out printouts","subject_62457bc94ff454214e8af551__spoof_cutout_printout.mp4"
"625473b64949293a58c89e41","test","spoof","cut-out printouts","subject_625473b64949293a58c89e41__spoof_cutout_printout.mp4"
"62663cf6d21d14509973bcb4","train","spoof","cut-out printouts","subject_62663cf6d21d14509973bcb4__spoof_cutout_printout.mp4"
"62880080572a894c5df8f427","train","spoof","replay","subject_62880080572a894c5df8f427__spoof_replay__device1_samsung_galaxy_j2_core__device2_samsung_galaxy_a22.mp4"
"6289196875a5cf63cd0cb302","val","spoof","replay","subject_6289196875a5cf63cd0cb302__spoof_replay__device1_samsung_galaxy_s20__device2_iphone_6s_plus.mp4"
"628a68b5180bc205cf8704d2","train","spoof","replay","subject_628a68b5180bc205cf8704d2__spoof_replay__device1_vivo_y10__device2_honor_10_lite.mp4"
"628c9dbb2579312f1ac7ee6f","test","spoof","replay","subject_628c9dbb2579312f1ac7ee6f__spoof_replay__device1_20__device2_22.mp4"
"628e621c6789b1401e3cb184","train","spoof","replay","subject_628e621c6789b1401e3cb184__spoof_replay__device1_honor_50__device2_samsung_note_9.mp4"
"628f8595ab45cb7cba7116fd","val","spoof","replay","subject_628f8595ab45cb7cba7116fd__spoof_replay__device1_iphone_12_pro__device2_iphone_x.mov"
"629066494796d7421dad66b7","train","spoof","replay","subject_629066494796d7421dad66b7__spoof_replay__device1_iphone_xr__device2_iphone_6s.mov"
"6295ba1f8753764e91dcf5df","test","spoof","replay","subject_6295ba1f8753764e91dcf5df__spoof_replay__device1_poco_x3_pro__device2_tecno_pouvoir_4.mp4"
"62960f430bd50b2755f74916","train","spoof","replay","subject_62960f430bd50b2755f74916__spoof_replay__device1_galaxy_m31__device2_m2003j15sg.mp4"
